Country_code_A3,Name,year,co2_gg,co2_mt,ch4_gg,ch4_mt,n2o_gg,n2o_mt,gdp_annual_growth,post_paris,co2_mt_mean,co2_gg_mean,rank
IRN,"Iran, Islamic Republic of",2021,784264.638357,784.264638357,4893.3626102656,4.8933626102656,110.58273001082,.11058273001082,4.7197776,1,737.7816158923022,737781.6158923022,6
IRN,"Iran, Islamic Republic of",2022,792058.9135555699,792.0589135555699,5120.4607670445,5.1204607670445,110.98253762864,.11098253762864,3.7766314,1,737.7816158923022,737781.6158923022,6
IRN,"Iran, Islamic Republic of",2023,816133.03416964,816.13303416964,5614.9657845529,5.6149657845529,111.73738651839,.11173738651839,5.0448904,1,737.7816158923022,737781.6158923022,6
IRN,"Iran, Islamic Republic of",2024,828989.58495779,828.9895849577899,5958.8119269255,5.958811926925501,113.27771340393,.11327771340393,3.0400002,1,737.7816158923022,737781.6158923022,6
JPN,Japan,1970,848731.96477039,848.7319647703899,3364.8423175607,3.3648423175607,90.629440840055,.090629440840055,.39905065,0,1099.353121993142,1099353.121993142,5
JPN,Japan,1971,846432.47489596,846.4324748959599,3130.5865109,3.1305865109,92.381073806187,.092381073806187,4.6989923,0,1099.353121993142,1099353.121993142,5
JPN,Japan,1972,892981.88754235,892.98188754235,3033.5822168016,3.0335822168016,95.49061266179901,.095490612661799,8.4135475,0,1099.353121993142,1099353.121993142,5
JPN,Japan,1973,1006604.5999522,1006.6045999522,3009.0885805614,3.0090885805614,98.960046122851,.098960046122851,8.0326004,0,1099.353121993142,1099353.121993142,5
JPN,Japan,1974,1003168.5480864,1003.1685480864,2966.5640125174,2.9665640125174,96.293110630195,.096293110630195,-1.2252399,0,1099.353121993142,1099353.121993142,5
JPN,Japan,1975,948659.67808353,948.65967808353,2923.396398528,2.923396398528,91.32103591065599,.091321035910656,3.0915759,0,1099.353121993142,1099353.121993142,5
JPN,Japan,1976,980712.05630619,980.71205630619,2948.6833119222,2.9486833119222,94.77761922304499,.094777619223045,3.9749842,0,1099.353121993142,1099353.121993142,5
JPN,Japan,1977,1005757.0463485,1005.7570463485,3012.2453021015,3.0122453021015,95.88817599105499,.095888175991055,4.3903379,0,1099.353121993142,1099353.121993142,5
JPN,Japan,1978,1006352.1858957,1006.3521858957,2869.8895019577,2.8698895019577,96.809866037643,.096809866037643,5.2719417,0,1099.353121993142,1099353.121993142,5
JPN,Japan,1979,1030121.3599587,1030.1213599587,2865.2018142316,2.8652018142316,99.631219103128,.099631219103128,5.4840417,0,1099.353121993142,1099353.121993142,5
JPN,Japan,1980,1003120.5236529,1003.1205236529,2792.2847515517,2.7922847515517,94.400550625517,.094400550625517,2.8175912,0,1099.353121993142,1099353.121993142,5
JPN,Japan,1981,981562.16990607,981.56216990607,2791.2194140867,2.7912194140867,93.589329136751,.093589329136751,4.2606244,0,1099.353121993142,1099353.121993142,5
JPN,Japan,1982,939737.1386780899,939.73713867809,2797.4092169618,2.7974092169618,99.984750978115,.099984750978115,3.2797427,0,1099.353121993142,1099353.121993142,5
JPN,Japan,1983,943221.03495593,943.22103495593,2814.3606056374,2.8143606056374,102.28464868451,.10228464868451,3.6301985,0,1099.353121993142,1099353.121993142,5
JPN,Japan,1984,1011025.3836988,1011.0253836988,2881.547655216,2.881547655216,107.21008757513,.10721008757513,4.4108801,0,1099.353121993142,1099353.121993142,5
JPN,Japan,1985,983433.86638189,983.43386638189,2880.895938869,2.880895938869,109.68676225639,.10968676225639,5.1598077,0,1099.353121993142,1099353.121993142,5
JPN,Japan,1986,980456.3129638101,980.4563129638101,2872.3632652777,2.8723632652777,108.19720359394,.10819720359394,3.2940476,0,1099.353121993142,1099353.121993142,5
JPN,Japan,1987,987760.30468773,987.76030468773,2743.23272221,2.74323272221,109.47755166392,.10947755166392,4.6488614,0,1099.353121993142,1099353.121993142,5
